2015/06/25,   37,   60,   10
2015/06/26,   48,  100,   20
2015/06/27,   64,   90,   20
2015/06/28,   46,   70,   20
2015/06/29,   33,   60,    0
2015/06/30,   48,   80,   20
2015/07/01,   63,   80,   50
2015/07/02,   44,   70,   20
2015/07/03,   49,   80,   10
2015/07/04,   65,   90,   40
2015/07/05,   61,  140,   20
2015/07/06,   70,  100,   30
2015/07/07,   74,  160,   10
2015/07/08,  114,  140,   70
2015/07/09,   83,  120,   30
2015/07/10,   53,   90,   30
2015/07/11,   44,   80,   20
2015/07/12,  101,  140,   60
2015/07/13,   95,  120,   70
2015/07/14,   62,  120,   20
2015/07/15,   54,   90,   10
2015/07/16,   49,   80,   30
2015/07/17,  109,  140,   50
2015/07/18,   60,  100,   20
2015/07/19,   68,  130,   20
2015/07/20,   61,  120,   20
2015/07/21,   98,  140,   70
2015/07/22,   76,   90,   50
2015/07/23,   48,  100,   10
2015/07/24,   42,   80,   20
2015/07/25,  132,  250,   30
2015/07/26,   69,  100,   40
2015/07/27,  141,  160,   90
2015/07/28,  131,  150,   80
2015/07/29,  127,  150,   90
2015/07/30,   85,  110,   70
2015/07/31,   41,   70,   20
2015/08/01,   31,   50,   10
2015/08/02,   41,   60,   20
2015/08/03,   49,  110,   10
2015/08/04,   80,  130,   10
2015/08/05,   52,   90,   20
2015/08/06,   55,   90,   10
2015/08/07,   46,   80,   20
2015/08/08,   65,   80,   50
2015/08/09,   31,   50,   10
2015/08/10,   51,   80,   30
2015/08/11,   39,   70,   20
2015/08/12,   70,   90,   50
2015/08/13,   84,  110,   30
2015/08/14,   40,   80,   10
2015/08/15,   64,  100,   10
2015/08/16,   75,   90,   50
2015/08/17,  105,  120,   80
2015/08/18,   99,  130,   30
2015/08/19,   44,   60,   10
2015/08/20,   38,   60,   10
2015/08/21,   35,   40,   10
2015/08/22,   53,   70,   40
2015/08/23,   73,  110,   20
2015/08/24,   54,  100,   20
2015/08/25,  125,  160,   80
2015/08/26,  105,  160,   60
2015/08/27,  118,  140,   80
2015/08/28,   78,   90,   60
2015/08/29,   45,   60,   30
2015/08/30,   64,   90,   50
2015/08/31,   58,  110,   20
2015/09/01,   93,  110,   80
2015/09/02,   75,  110,   50
2015/09/03,   76,  120,   50
2015/09/04,  132,  170,  100
2015/09/05,  120,  130,  100
2015/09/06,  112,  130,   90
2015/09/07,   84,  110,   50
2015/09/08,   56,   80,   40
2015/09/09,   54,   80,   30
2015/09/10,   70,  100,   50
2015/09/11,   57,   70,   40
2015/09/12,   50,   70,   40
2015/09/13,   64,  100,   20
2015/09/14,   87,  150,   30
2015/09/15,  115,  170,   50
2015/09/16,   65,  130,   40
2015/09/17,   96,  150,   30
2015/09/18,   64,  100,   10
2015/09/19,   54,   80,    0
